full_name,age,position,Current Club,nationality,appearances_overall,goals_overall,assists_overall
Naby Ke?ta,27,Midfielder,Liverpool,Guinea,25,2,1
Nacho Monreal,36,Defender,Arsenal,Spain,22,1,3
Nampalys Mendy,30,Midfielder,Leicester City,France,31,0,0
Nathan Ak?,27,Defender,AFC Bournemouth,Netherlands,38,4,0
Nathan Holland,24,Midfielder,West Ham United,England,0,0,0
Nathan Redmond,28,Midfielder,Southampton,England,38,6,4
Nathaniel Chalobah,27,Midfielder,Watford,England,9,0,0
Nathaniel Clyne,31,Defender,AFC Bournemouth,England,18,0,1
Nathaniel Mendez-Laing,30,Midfielder,Cardiff City,England,20,4,1
Neeskens Kebano,30,Midfielder,Fulham,Congo DR,7,0,0
Neil Leonard Dula Etheridge,32,Goalkeeper,Cardiff City,Philippines,38,0,0
Nemanja Mati?,34,Midfielder,Manchester United,Serbia,28,1,0
Nicolas Otamendi,34,Defender,Manchester City,Argentina,18,0,0
Nikola Tavares,23,Defender,Crystal Palace,England,0,0,0
Nnamdi Ofoborh,22,Midfielder,AFC Bournemouth,England,0,0,0
Oleksandr Zinchenko,25,Midfielder,Manchester City,Ukraine,14,0,3
Oliver Skipp,22,Midfielder,Tottenham Hotspur,England,8,0,0
Olivier Giroud,36,Forward,Chelsea,France,27,2,4
Oriol Romeu,31,Midfielder,Southampton,Spain,31,1,0
Oumar Niasse,32,Forward,Cardiff City,Senegal,18,0,0
Pablo Zabaleta,37,Defender,West Ham United,Argentina,26,0,1
Pape N'Diaye Souar?,32,Defender,Crystal Palace,Senegal,1,0,0
Pascal Gro©¬,31,Midfielder,Brighton & Hove Albion,Germany,25,3,3
Patrick van Aanholt,32,Defender,Crystal Palace,Netherlands,36,3,2
Paul Dummett,31,Defender,Newcastle United,Wales,26,0,0
Paul Pogba,29,Midfielder,Manchester United,France,35,13,9
Paulo Gazzaniga,30,Goalkeeper,Tottenham Hotspur,Argentina,3,0,0
Pedro Obiang,30,Midfielder,West Ham United,Equatorial Guinea,24,0,1
Pedro Rodriguez,35,Midfielder,Chelsea,Spain,31,8,2
Peter Crouch,41,Forward,Burnley,England,6,0,0
Petr ?ech,40,Goalkeeper,Arsenal,Czech Republic,7,0,0
Phil Bardsley,37,Defender,Burnley,Scotland,19,0,0
Phil Foden,22,Midfielder,Manchester City,England,13,1,0
Phil Jagielka,40,Defender,Everton,England,7,1,0
Phil Jones,30,Defender,Manchester United,England,18,0,1
Philip Billing,26,Midfielder,Huddersfield Town,Denmark,27,2,0
Philippe Sandler,25,Defender,Manchester City,Netherlands,0,0,0
Pierre-Emerick Aubameyang,33,Forward,Arsenal,Gabon,36,22,5
Pierre-Emile H©ªjbjerg,27,Midfielder,Southampton,Denmark,31,4,3
Rachid Ghezzal,30,Forward,Leicester City,Algeria,19,1,0
Rafael Euclides Soares Camacho,22,Midfielder,Liverpool,Portugal,1,0,0
Raheem Sterling,27,Forward,Manchester City,England,34,17,10
Rajiv van La Parra,31,Midfielder,Huddersfield Town,Netherlands,5,0,0
Ramadan Sobhi,25,Forward,Huddersfield Town,Egypt,4,0,0
Ra?l Jim?nez,31,Forward,Wolverhampton Wanderers,Mexico,38,13,7
Rhys Healey,27,Forward,Cardiff City,England,3,0,0
Ricardo Pereira,29,Defender,Leicester City,Portugal,35,2,6
Richarlison,25,Forward,Everton,Brazil,35,13,1
Riyad Mahrez,31,Midfielder,Manchester City,Algeria,27,7,4
Rob Holding,27,Defender,Arsenal,England,10,0,0
Robbie Brady,30,Midfielder,Burnley,Republic of Ireland,16,0,1
Robert Kenedy Nunes do Nascimento,26,Midfielder,Newcastle United,Brazil,25,1,1
Robert Snodgrass,35,Midfielder,West Ham United,Scotland,33,2,5
Roberto Firmino,31,Forward,Liverpool,Brazil,34,12,6
Roberto Pereyra,31,Forward,Watford,Argentina,33,6,1
Romain Sa?ss,32,Midfielder,Wolverhampton Wanderers,Morocco,19,2,0
Romelu Lukaku,29,Forward,Manchester United,Belgium,32,12,0
Rondon,33,Forward,Newcastle United,Venezuela,32,11,7
Ross Barkley,28,Midfielder,Chelsea,England,27,3,5
Ruben Loftus-Cheek,26,Midfielder,Chelsea,England,24,6,2
R?ben Neves,25,Midfielder,Wolverhampton Wanderers,Portugal,35,4,3
Ruben Vinagre,23,Defender,Wolverhampton Wanderers,Portugal,17,0,0
Rui Patr?cio,34,Goalkeeper,Wolverhampton Wanderers,Portugal,37,0,0
Ryan Bennett,32,Defender,Wolverhampton Wanderers,England,34,1,0
Ryan Bertrand,33,Defender,Southampton,England,24,1,0
Ryan Fraser,28,Midfielder,AFC Bournemouth,Scotland,38,7,14
Ryan Fredericks,30,Midfielder,West Ham United,England,15,1,0
Ryan Giles,22,Midfielder,Wolverhampton Wanderers,England,0,0,0
Ryan Guno Babel,35,Forward,Fulham,Netherlands,16,5,3
Ryan Schofield,22,Goalkeeper,Huddersfield Town,England,0,0,0
Ryan Sessegnon,22,Defender,Fulham,England,35,2,6
Sadio Man?,30,Forward,Liverpool,Senegal,36,22,1
Sam Gallagher,27,Forward,Southampton,England,4,0,0
Sam Surridge,24,Forward,AFC Bournemouth,England,2,0,0
Sam Vokes,33,Forward,Burnley,Wales,20,3,0
Sam Woods,24,Defender,Crystal Palace,England,0,0,0
Samir Nasri,35,Midfielder,West Ham United,France,5,0,2
Sandro Ramirez,27,Forward,Everton,Spain,0,0,0
Scott Dann,35,Defender,Crystal Palace,England,10,0,1
Scott McTominay,25,Midfielder,Manchester United,England,16,2,0
Sead Kola?inac,29,Defender,Arsenal,Bosnia and Herzegovina,24,0,5
S?amus Coleman,34,Defender,Everton,Republic of Ireland,29,2,2
Sean Longstaff,25,Midfielder,Newcastle United,England,9,1,0
Sean Morrison,31,Defender,Cardiff City,England,34,1,3
Sebastian Pr?dl,35,Defender,Watford,Austria,1,0,0
Serge Aurier,29,Defender,Tottenham Hotspur,Ivory Coast,8,0,2
Sergio Aguero,34,Forward,Manchester City,Argentina,33,21,8
Sergio Rico,29,Goalkeeper,Fulham,Spain,29,0,0
Sergio Romero,35,Goalkeeper,Manchester United,Argentina,0,0,0
Shane Duffy,30,Defender,Brighton & Hove Albion,Republic of Ireland,35,5,1
Shane Long,35,Forward,Southampton,Republic of Ireland,26,5,1
Shinji Okazaki,36,Forward,Leicester City,Japan,21,0,1
Shkodran Mustafi,30,Defender,Arsenal,Germany,31,2,0
Simon Francis,37,Defender,AFC Bournemouth,England,17,0,2
Simon Mignolet,34,Goalkeeper,Liverpool,Belgium,0,0,0
Sokratis Papastathopoulos,34,Defender,Arsenal,Greece,25,1,2
Solly March,28,Midfielder,Brighton & Hove Albion,England,35,1,5
Souleymane Bamba,37,Defender,Cardiff City,Ivory Coast,28,4,1
Stefan Marius Johansen,31,Midfielder,Fulham,Norway,12,0,0
Stefano Okaka,33,Forward,Watford,Italy,2,0,0
Stephan Lichtsteiner,38,Defender,Arsenal,Switzerland,14,0,0
Stephen Ward,37,Defender,Burnley,Republic of Ireland,3,0,0
Steve Cook,31,Defender,AFC Bournemouth,England,31,1,1
Steve Mouni?,28,Forward,Huddersfield Town,Benin,31,2,3
Steven Davis,37,Midfielder,Southampton,Northern Ireland,3,0,1
Steven Defour,34,Midfielder,Burnley,Belgium,6,0,0
Stuart Armstrong,30,Midfielder,Southampton,Scotland,29,3,2
Sullay Kaikai,27,Midfielder,Crystal Palace,England,0,0,0
Tahith Chong,22,Forward,Manchester United,Netherlands,2,0,0
Terence Kongolo,28,Defender,Huddersfield Town,Netherlands,32,1,1
Theo Walcott,33,Forward,Everton,England,37,5,2
Tim Ream,35,Defender,Fulham,USA,26,0,0
Timothy Eyoma,22,Defender,Tottenham Hotspur,England,0,0,0
Timothy Fosu-Mensah,24,Defender,Fulham,Netherlands,12,0,0
Toby Alderweireld,33,Defender,Tottenham Hotspur,Belgium,34,0,0
Tom Cairney,31,Midfielder,Fulham,Scotland,31,1,1
Tom Cleverley,33,Midfielder,Watford,England,13,1,0
Tom Davies,24,Midfielder,Everton,England,16,0,0
Tom Heaton,36,Goalkeeper,Burnley,England,19,0,0
Tom Smith,30,Defender,Huddersfield Town,England,15,0,0
Trent Alexander-Arnold,24,Defender,Liverpool,England,29,1,12
Troy Deeney,34,Forward,Watford,England,32,9,5
Tyias Browning,28,Defender,Everton,England,0,0,0
Tyreke Johnson,24,Defender,Southampton,England,1,0,0
Tyrone Mings,29,Defender,AFC Bournemouth,England,5,0,0
Vicente Guaita,35,Goalkeeper,Crystal Palace,Spain,20,0,0
Vicente Iborra De La Fuente,34,Midfielder,Leicester City,Spain,8,0,0
V?ctor Camarasa,28,Midfielder,Cardiff City,Spain,32,5,4
Victor Lindel?f,28,Defender,Manchester United,Sweden,30,1,1
Victor Moses,31,Midfielder,Chelsea,Nigeria,2,0,0
Victor Wanyama,31,Midfielder,Tottenham Hotspur,Kenya,13,1,0
Viktor Gy?keres,24,Forward,Brighton & Hove Albion,Sweden,0,0,0
Vincent Janssen,28,Forward,Tottenham Hotspur,Netherlands,3,0,0
Vincent Kompany,36,Defender,Manchester City,Belgium,17,1,0
Virgil van Dijk,31,Defender,Liverpool,Netherlands,38,4,2
Wayne Hennessey,35,Goalkeeper,Crystal Palace,Wales,18,0,0
Wes Morgan,38,Defender,Leicester City,Jamaica,22,3,0
Wesley Hoedt,28,Defender,Southampton,Netherlands,13,0,0
Wilfred Ndidi,25,Midfielder,Leicester City,Nigeria,38,2,0
Wilfried Zaha,29,Midfielder,Crystal Palace,Ivory Coast,34,10,5
Will Hughes,27,Midfielder,Watford,England,32,2,4
Will Norris,29,Goalkeeper,Wolverhampton Wanderers,England,1,0,0
Willian,34,Forward,Chelsea,Brazil,32,3,6
Willy Boly,31,Defender,Wolverhampton Wanderers,France,36,4,0
Willy Caballero,41,Goalkeeper,Chelsea,Argentina,2,0,0
Xherdan Shaqiri,31,Midfielder,Liverpool,Switzerland,24,6,3
Yan Valery,23,Defender,Southampton,France,23,2,1
Yerry Mina,28,Defender,Everton,Colombia,13,1,0
Yoshinori Muto,30,Forward,Newcastle United,Japan,17,1,0
Youri Tielemans,25,Midfielder,Leicester City,Belgium,13,3,4
Yves Bissouma,26,Midfielder,Brighton & Hove Albion,Mali,28,0,0
Zechariah Medley,22,Defender,Arsenal,England,0,0,0
Zeze  Steven Sessegnon,22,Defender,Fulham,England,0,0,0
¨©ukasz Fabia?ski,37,Goalkeeper,West Ham United,Poland,38,0,0
